asdf_id,gpw_v4_count.2015.sum,adm,gbid,Name,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,1727796.875,ADM1,AFG_ADM1_1_3_3_0,Ghor,ADM1,1,0,AFG,AF-GHO,0
1,2214376.232,ADM1,AFG_ADM1_1_3_3_1,Hilmand,ADM1,1,1,AFG,AF-HEL,1
2,840308.75,ADM1,AFG_ADM1_1_3_3_2,Uruzgan,ADM1,1,2,AFG,AF-URU,2
3,379925.8125,ADM1,AFG_ADM1_1_3_3_3,Nimroz,ADM1,1,3,AFG,AF-NIM,3
4,2158898.75,ADM1,AFG_ADM1_1_3_3_4,Baghlan,ADM1,1,4,AFG,AF-BGL,4
5,2410342.5,ADM1,AFG_ADM1_1_3_3_5,Ghazni,ADM1,1,5,AFG,AF-GHA,5
6,1084418.125,ADM1,AFG_ADM1_1_3_3_6,Kunar,ADM1,1,6,AFG,AF-KNR,6
7,729101.375,ADM1,AFG_ADM1_1_3_3_7,Zabul,ADM1,1,7,AFG,AF-ZAB,7
8,2468374.707,ADM1,AFG_ADM1_1_3_3_8,Badakhshan,ADM1,1,8,AFG,AF-BDS,8
9,1534020.75,ADM1,AFG_ADM1_1_3_3_9,Khost,ADM1,1,9,AFG,AF-KHO,9
10,10152720,ADM1,AFG_ADM1_1_3_3_10,Kabul,ADM1,1,10,AFG,AF-KAB,10
11,2500107.75,ADM1,AFG_ADM1_1_3_3_11,Faryab,ADM1,1,11,AFG,AF-FYB,11
12,1535413.625,ADM1,AFG_ADM1_1_3_3_12,Parwan,ADM1,1,12,AFG,AF-PAR,12
13,4815246.133,ADM1,AFG_ADM1_1_3_3_13,Hirat,ADM1,1,13,AFG,AF-HER,13
14,966703.875,ADM1,AFG_ADM1_1_3_3_14,Logar,ADM1,1,14,AFG,AF-LOG,14
15,2451724.75,ADM1,AFG_ADM1_1_3_3_15,Takhar,ADM1,1,15,AFG,AF-TAK,15
16,1095125.75,ADM1,AFG_ADM1_1_3_3_16,Laghman,ADM1,1,16,AFG,AF-LAG,16
17,3013197,ADM1,AFG_ADM1_1_3_3_17,Balkh,ADM1,1,17,AFG,AF-BAL,17
18,1355254.875,ADM1,AFG_ADM1_1_3_3_18,Sar-e-Pul,ADM1,1,18,AFG,AF-SAR,18
19,1062107,ADM1,AFG_ADM1_1_3_3_19,Daykundi,ADM1,1,19,AFG,AF-DAY,19
20,3054755.25,ADM1,AFG_ADM1_1_3_3_20,Kandahar,ADM1,1,20,AFG,AF-KAN,20
21,363684.3125,ADM1,AFG_ADM1_1_3_3_21,Panjsher,ADM1,1,21,AFG,AF-PAN,21
22,1093053.75,ADM1,AFG_ADM1_1_3_3_22,Bamyan,ADM1,1,22,AFG,AF-BAM,22
23,1336197.75,ADM1,AFG_ADM1_1_3_3_23,Paktya,ADM1,1,23,AFG,AF-PIA,23
24,373826.2813,ADM1,AFG_ADM1_1_3_3_24,Nuristan,ADM1,1,24,AFG,AF-NUR,24
25,1040765.438,ADM1,AFG_ADM1_1_3_3_25,Paktika,ADM1,1,25,AFG,AF-PKA,25
26,1203607.625,ADM1,AFG_ADM1_1_3_3_26,Jawzjan,ADM1,1,26,AFG,AF-JOW,26
27,1044502.688,ADM1,AFG_ADM1_1_3_3_27,Kapisa,ADM1,1,27,AFG,AF-KAP,27
28,1291646.875,ADM1,AFG_ADM1_1_3_3_28,Badghis,ADM1,1,28,AFG,AF-BDG,28
29,1500618.375,ADM1,AFG_ADM1_1_3_3_29,Wardak,ADM1,1,29,AFG,AF-WAR,29
30,1287092.486,ADM1,AFG_ADM1_1_3_3_30,Farah,ADM1,1,30,AFG,AF-FRA,30
31,3751999.5,ADM1,AFG_ADM1_1_3_3_31,Nangarhar,ADM1,1,31,AFG,AF-NAN,31
32,2185910,ADM1,AFG_ADM1_1_3_3_32,Kunduz,ADM1,1,32,AFG,AF-KDZ,32
33,939894.9375,ADM1,AFG_ADM1_1_3_3_33,Samangan,ADM1,1,33,AFG,AF-SAM,33
