region,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,p20,ext,np20,weights,MPI,share.of.pop
Abia,0.0539387539598733,1,0.209320555567823,0.147122293337257,0.18083376379881,0.692992011619463,0.326627637796782,1,0.117201400447684,0.670770437544242,0.393162393162393,0.384615384615385,0.378302626795998,0.0986148577550747,0.000286976984445847,182.646798324285,0.151216305062459,0.0100264575918895
Adamawa,0.0992490461675112,1,0.527388352510691,0.375214204267796,0.669637569439346,0.718125079607693,0.138022171646722,1,0.213547708195678,0.934914225583046,0.546014158202524,0.903047091412742,0.792222793235935,0.591410322296454,0.222015025817977,437.862923886177,0.493076497434966,0.0240366328765905
Akwa Ibom,0.063442080399584,1,0.278284236417135,0.126414888078161,0.248342770677915,0.742629998799087,0.367789592121344,1,0.119191183285662,0.722397653129628,0.546698872785829,0.855072463768116,0.48522320918573,0.175525987364664,0.014376089857028,389.277269268004,0.467467152092231,0.0213695069807487
Anambra,0.0447509486237427,1,0.215632647185836,0.109755909280388,0.265858198557687,0.38803317535545,0.231494588539519,1,0.109176633191034,0.50586845302451,,,0.269302361871217,0.101574952350168,0.0172319627272423,296.499195685287,,0.0162764233418956
Bauchi,0.20213569858133,1,0.674050223465959,0.714310103152068,0.717416559810102,0.745874977822461,0.0911522764633211,1,0.263068027734719,0.981703254577534,0.562021072796935,1,0.901214314650453,0.817752362841369,0.430591220910184,874.573459649258,0.562021072796935,0.0480100050185193
Bayelsa,0.102891066294557,1,0.296622937981111,0.134971239503427,0.569646312434738,0.514192494544595,0.452598344146364,1,0.253851369073247,0.481624916843231,0.382859603789836,0.178294573643411,0.447952169569819,0.163414980731666,0.00667021563142234,127.862993313246,0.0682617898229941,0.00701908213989678
Benue,0.0796345602434315,1,0.266628277537627,0.246836817275616,0.640892313306106,0.700238363412526,0.136057429160877,1,0.215492681009922,0.96488568902362,0.457312546399406,0.844097995545657,0.781875850841368,0.587610346231036,0.192644520230727,501.170601606141,0.386016603753619,0.0275119291956272
Borno,0.121501821474447,1,0.335013710440291,0.133579551687571,0.339611073074526,0.678570036255896,0.272044472148704,1,0.228931421739441,0.994400106275355,0.388888888888889,1,0.665457443873328,0.335789247795297,0.0617827690861341,1106.29138828608,0.388888888888889,0.0607302388582202
Cross River,0.0477665658690508,1,0.298805159773136,0.161008792325911,0.631340005259169,0.648036935467074,0.295271388575229,1,0.229802471809309,0.78484585995143,0.474098601913171,1,0.656220513851722,0.319904406874043,0.0144936503271512,323.298981664613,0.474098601913171,0.0177476066314945
Delta,0.0564934462239731,1,0.204624303084716,0.147700253112776,0.278053624627607,0.556392954167032,0.332767713384946,1,0.138785781085798,0.538010624656531,0.277777777777778,0,0.344154028595945,0.101242757011598,0.00127264488387115,292.065199160946,0,0.0160330176073206
Ebonyi,0.0455947046005838,1,0.202539930537228,0.273010989010989,0.703835266692568,0.638228055783429,0.213751826978224,1,0.313139442378494,0.92236036336053,0.5,1,0.823712789772622,0.550637361010897,0.0777691439566336,224.815915478731,0.5,0.0123413454996742
Edo,0.00939781180101607,1,0.189612357806708,0.152077694634612,0.114680974852932,0.591161816737671,0.277474303445601,1,0.092782338871291,0.379500937358588,0.222222222222222,0,0.184174801215334,0.0599343848988299,0.00029898506690801,233.857435893,0,0.0128376828120804
Ekiti,0.0524180090291075,1,0.196729503394562,0.283506591787151,0.258975667857751,0.654666360926393,0.330440701037945,1,0.122496016829861,0.581156124800842,0.388888888888889,1,0.439061364023079,0.128930963540458,0.00303184989249308,112.847772820507,0.388888888888889,0.00619481654704458
Enugu,0.0254564504549952,1,0.19449620324177,0.2045204288612,0.280667763681724,0.584096838784054,0.229081515296283,1,0.14229346922165,0.714731850593627,0.452249770431589,0.442148760330579,0.454031530336005,0.145956084010121,0.00524620910522498,239.852583919874,0.199961675356116,0.0131667884848874
Gombe,0.187032873826342,1,0.575085812356979,0.551649115579701,0.572752086851841,0.666180526933198,0.079827319348964,1,0.310591462097126,0.96142465946723,,,0.864505659745036,0.751469505284928,0.42386573594324,329.078274093739,,0.0180648628384655
Imo,0.0782576596530085,1,0.223545165777399,0.118007295280378,0.25157238428981,0.689437984496124,0.175333363673599,1,0.0729804760387749,0.745351112729259,,,0.335739316433805,0.0689027442770673,0.00400491512310563,327.014560520983,,0.0179515745858988
Jigawa,0.269299762045191,1,0.541963510756881,0.608113887700862,0.734800332972872,0.826086956521739,0.0863395545320876,1,0.347322602478625,0.988096997798334,,,0.90606741922685,0.857634647850069,0.50328694015046,801.881129756761,,0.0440195350534848
Kaduna,0.0882896829123742,1,0.505743381420144,0.250699187509619,0.370937837002655,0.570798800916946,0.343778970403678,1,0.115314031292766,0.870061235944427,0.388888888888889,1,0.648514508062838,0.417917977889473,0.119214590677758,1041.76290651891,0.388888888888889,0.0571879260892944
Kano,0.286118090025416,1,0.465971413402677,0.154433697984008,0.524270430429708,0.654518647248027,0.139819801468467,1,0.231214768853313,0.886819840407475,0.453665549770667,0.827337797296978,0.779587312371066,0.593561141669456,0.204415867672139,1356.04706535692,0.375334656656787,0.0744406609814613
Katsina,0.190819906385395,1,0.521859562547926,0.418012916045703,0.680501311570971,0.644739088374211,0.0946842140663184,1,0.27010739187947,0.954447010290788,0.585415865692682,0.590542099192618,0.850821693608053,0.759267313857812,0.429545097863372,1094.06041746106,0.34571271422682,0.0600588155898694
Kebbi,0.224261866854795,1,0.488625217030964,0.484919664500075,0.57333784234518,0.594589720468891,0.128177926842827,1,0.324648852981507,0.940342067227514,0.555555555555555,1,0.864020864989067,0.747632768780343,0.437298484230812,539.083886907541,0.555555555555555,0.0295931917785539
Kogi,0.0522724513335222,1,0.312263668037186,0.149863460586845,0.518466337170755,0.553346566590162,0.14374510276656,1,0.163537460068712,0.826005062985956,0.370546179090483,0.310126582278481,0.666920318244832,0.336854318606473,0.0243128804773672,315.170280911023,0.114916220097681,0.0173013788622109
Kwara,0.0298229174680433,1,0.257709817743545,0.416762714634551,0.284048869863333,0.812875708097301,0.281316768852362,1,0.220589312013745,0.742985928592633,,,0.471434967609272,0.284020914306456,0.0746630800722585,270.857875218103,,0.0148688344072798
Lagos,0.0387971440902957,1,0.284953959018959,0.182387157616717,0.00833076849429765,0.114417421044141,0.529497055661787,1,0.0645523161796437,0.0327577940046573,,,0.0323012042338998,0.00157603763578097,0,757.592529579392,,0.0415882974103583
Nasarawa,0.132104383715648,1,0.468656290778364,0.278957513495619,0.692686307193827,0.738797141910756,0.123630438446987,1,0.186398966156612,0.960099638529395,0.556708896696121,1,0.79561740303036,0.515681830951623,0.083943588110801,379.21135481958,0.556708896696121,0.0208169352123593
Niger,0.185397279885469,1,0.459461392288674,0.346757863822552,0.461883642282934,0.529106745621456,0.147873623001693,1,0.149558011290189,0.940650339271491,0.588934802571166,0.71900826446281,0.726336956001341,0.501960767245394,0.201221290319773,795.378534460346,0.423448990278442,0.0436625728916791
Ogun,0.0456829938348172,1,0.278919267237411,0.205599961594777,0.218512366340849,0.693945075548693,0.455497032579027,1,0.119489820619194,0.299863941035551,,,0.284955885176251,0.110992395722907,0.00828874550295907,231.721810208675,,0.0127204469198968
Ondo,0.050762430739472,1,0.2480106823632,0.237976986887878,0.40950760952233,0.647998487641193,0.425348173469304,1,0.196907123755939,0.598016045011081,0.479901403109594,1,0.433566948258519,0.221841496225906,0.0204528912913699,347.053800649146,0.479901403109594,0.019051635430995
Osun,0.0666741528873417,1,0.286538746780653,0.207437441733134,0.225786064149155,0.51425335095337,0.404426510446419,1,0.103139394970648,0.508295149312688,0.389579020013803,0.503105590062112,0.384894928108706,0.145982473838375,0.00364621947810445,325.695142334016,0.195999382739863,0.0178791446795498
Oyo,0.0590298834703265,1,0.256480876799455,0.303435995515399,0.319418079190955,0.763410502540937,0.355712533808188,1,0.143825490953685,0.423530498765266,0.678362573099415,1,0.385346145446604,0.20824163824819,0.0486753909990425,550.775421246504,0.678362573099415,0.030235002499077
Plateau,0.115392751641345,1,0.436319068980184,0.21878934850534,0.637337083504047,0.722408676834562,0.149427323832409,1,0.214859682342823,0.842861941303923,,,0.700532627592545,0.561720944481971,0.244886885844951,658.107065894868,,0.0361270093297901
Rivers,0.0382487936918913,1,0.274975650480033,0.110158689322091,0.171368550494441,0.472847127759757,0.393656812010043,1,0.0898498744684122,0.439637239329815,0.300411522633745,0,0.278546907823948,0.0837936158221038,0.00159860634318799,372.94090246518,0,0.020472716615646
Sokoto,0.160510371642664,1,0.441120343413307,0.297518470280426,0.607102252994915,0.397223293482453,0.0851005494485408,1,0.39729552873912,0.978694703286821,,,0.886337631193177,0.80824501822356,0.460432759269888,516.398424718295,,0.0283478656809727
Taraba,0.100887153325056,1,0.446064675737763,0.333465179442555,0.80129455794834,0.612900354287952,0.0794588625069023,1,0.375949444751212,0.962470090189582,0.325708061002179,0.431372549019608,0.863163384256703,0.703570771212958,0.273341922817351,297.433902373638,0.140501516510744,0.0163277343807837
Yobe,0.137362994914892,1,0.51986484362722,0.450133437844092,0.661833143768607,0.570407666071139,0.0740072774729134,1,0.303270331383309,0.983954214454348,0.593593593593594,1,0.897295190795764,0.730932885024085,0.413166516374314,651.118930216687,0.593593593593594,0.0357433932649782
Zamfara,0.315377028985249,1,0.480523871237795,0.300472327439464,0.70194595865962,0.801864951768489,0.194644290102106,1,0.283879603752179,0.953225739505797,,,0.861275215141537,0.771514153684385,0.402497993857052,766.308332212821,,0.0420667543353365
FCT Abuja,0.0824219962002236,1,0.364811917781674,0.22340319250494,0.253167546425582,0.496373652872327,0.210574508812781,1,0.156272529148056,0.607812590634504,0.479838199974719,0.908987485779295,0.433230855921178,0.215372440481616,0.0108844270242051,148.868337191426,0.436166918975882,0.00817217757616987
